Tick 212(158), Delay 44 ms, IGT 00:07.859, RTA 00:07.831-00:07.875
Tick 213(159), Delay 57 ms, IGT 00:07.909, RTA 00:07.875-00:07.932
Tick 214(160), Delay 78 ms, IGT 00:07.959, RTA 00:07.932-00:08.010
Tick 215(161), Delay 22 ms, IGT 00:08.009, RTA 00:08.010-00:08.032
Tick 216(162), Delay 44 ms, IGT 00:08.059, RTA 00:08.032-00:08.076
Tick 217(163), Delay 55 ms, IGT 00:08.109, RTA 00:08.076-00:08.131
Tick 220(166), Delay 55 ms, IGT 00:08.259, RTA 00:08.233-00:08.288
Tick 221(167), Delay 41 ms, IGT 00:08.309, RTA 00:08.288-00:08.329
Tick 222(168), Delay 58 ms, IGT 00:08.359, RTA 00:08.329-00:08.387
Tick 223(169), Delay 41 ms, IGT 00:08.409, RTA 00:08.387-00:08.428
Tick 229(175), Delay 45 ms, IGT 00:08.709, RTA 00:08.681-00:08.726
Tick 244(190), Delay 55 ms, IGT 00:09.459, RTA 00:09.424-00:09.479
Tick 252(198), Delay 55 ms, IGT 00:09.859, RTA 00:09.826-00:09.881
Tick 253(199), Delay 45 ms, IGT 00:09.909, RTA 00:09.881-00:09.926
Tick 261(207), Delay 56 ms, IGT 00:10.309, RTA 00:10.275-00:10.331
Tick 289(235), Delay 57 ms, IGT 00:11.709, RTA 00:11.677-00:11.734
Tick 331(277), Delay 55 ms, IGT 00:13.809, RTA 00:13.775-00:13.830
Tick 338(284), Delay 45 ms, IGT 00:14.159, RTA 00:14.129-00:14.174
Tick 342(288), Delay 56 ms, IGT 00:14.359, RTA 00:14.326-00:14.382
Tick 344(290), Delay 45 ms, IGT 00:14.459, RTA 00:14.432-00:14.477
Tick 361(307), Delay 60 ms, IGT 00:15.309, RTA 00:15.277-00:15.337
Tick 362(308), Delay 42 ms, IGT 00:15.359, RTA 00:15.337-00:15.379
Tick 376(322), Delay 56 ms, IGT 00:16.059, RTA 00:16.025-00:16.081
Tick 381(327), Delay 61 ms, IGT 00:16.309, RTA 00:16.281-00:16.342
Tick 382(328), Delay 35 ms, IGT 00:16.359, RTA 00:16.342-00:16.377
Tick 392(338), Delay 45 ms, IGT 00:16.859, RTA 00:16.830-00:16.875
Tick 395(341), Delay 55 ms, IGT 00:17.009, RTA 00:16.975-00:17.030
Tick 404(350), Delay 45 ms, IGT 00:17.459, RTA 00:17.431-00:17.476
Tick 405(351), Delay 56 ms, IGT 00:17.509, RTA 00:17.476-00:17.532
Tick 406(352), Delay 43 ms, IGT 00:17.559, RTA 00:17.532-00:17.575
Tick 412(358), Delay 59 ms, IGT 00:17.859, RTA 00:17.827-00:17.886
